title,text,label
Breaking: Celebrity found alive after rumors of death,"The celebrity was seen at a public event, confirming they are alive and well.",REAL
Government confirms new tax reforms starting next month,The finance ministry has confirmed changes in tax structure to boost economy.,REAL
Scientists discover cure for common cold overnight,A viral article claims scientists created a miracle drug overnight.,FAKE
Local man wins lottery twice in one week,"Reports say the man bought tickets twice and won both times, unlikely but true.",REAL
NASA announces water found on Mars,"NASA has found evidence of water, raising hopes for future missions.",REAL
Fake news site claims alien invasion is coming soon,A notorious website spread false news about an alien invasion happening next week.,FAKE
Experts warn of fake job offers circulating online,Cybersecurity experts warn users about fake job opportunities being shared widely.,REAL
World leaders meet to discuss climate change,Leaders gathered at a summit to discuss urgent climate change measures.,REAL
Shocking: Chocolate cures all diseases,A fabricated story claimed chocolate can cure all known diseases.,FAKE
Sports team wins championship after 20 years,The underdog team finally won the national championship after two decades.,REAL
